Gene.primaryIdentifier	Gene.secondaryIdentifier	Gene.symbol	Gene.name	Gene.description	Gene.qualifier	Gene.chromosome.primaryIdentifier	Gene.chromosomeLocation.start	Gene.chromosomeLocation.end	Gene.chromosomeLocation.strand
S000000105	YBL009W	ALK2	""	Atypical protein kinase; along with its paralog, ALK1, required for proper spindle positioning and nuclear segregation following mitotic arrest, proper organization of formins and polarisome components in mitosis, and survival after spindle assembly checkpoint delay; negatively regulates the morphogenesis checkpoint in response to polarity insults in opposition to ALK1; phosphorylated in response to DNA damage; similar to mammalian haspins	Verified	chrII	207194	209224	1
S000000106	YBL010C	LAA2	Large Adaptin Accessory	Clathrin adaptor (adaptin) accessory protein; physically interacts with and is involved in localization of clathrin adaptor protein complex-1 (AP-1); green fluorescent protein (GFP)-fusion protein colocalizes with clathrin-coated vesicles	Verified	chrII	206107	206949	-1
S000000107	YBL011W	SCT1	Suppressor of Choline-Transport mutants	Glycerol 3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase; dual substrate-specific acyltransferase of the glycerolipid biosynthesis pathway; prefers 16-carbon fatty acids; similar to Gpt2p; gene is constitutively transcribed	Verified	chrII	203538	205817	1
S000000108	YBL012C	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Dubious	chrII	203406	203807	-1
S000000109	YBL013W	FMT1	Formyl-Methionyl-tRNA Transformylase	Methionyl-tRNA formyltransferase; catalyzes formylation of mitochondria initiator Met-tRNA and residual cytosolic Met-tRNA due to inefficient translocation into the mitochondrial matrix; starvation or stationary phase entry increases Gcn2p phosphorylation-mediated cytosolic retention of Fmt1p, enhancing N-terminal protein formylation and ultimately N-end rule pathway mediated destruction that involves the Psh1p ubiquitin ligase; potential Cdc28p substrate	Verified	chrII	202056	203261	1
S000000110	YBL014C	RRN6	Regulation of RNA polymerase I	Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p, Rrn7p, and Rrn11p	Verified	chrII	199064	201748	-1
S000000111	YBL015W	ACH1	Acetyl CoA Hydrolase	Protein with CoA transferase activity; particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth	Verified	chrII	194122	195702	1
S000000112	YBL016W	FUS3	cell FUSion	Mitogen-activated serine/threonine protein kinase involved in mating; phosphoactivated by Ste7p; substrates include Ste12p, Far1p, Bni1p, Sst2p; inhibits invasive growth during mating by phosphorylating Tec1p, promoting its; inhibits recruitment of Ste5p, Cdc42p-mediated asymmetry and mating morphogenesis	Verified	chrII	192451	193512	1
S000000113	YBL017C	PEP1	carboxyPEPtidase Y-deficient	Type I transmembrane sorting receptor for multiple vacuolar hydrolases; plays role in post-ER quality control in the Golgi, involved in protein targeting from the endoplasmic reticulum to the vacuole for degradation; cycles between late-Golgi and prevacuolar endosome-like compartments; targeted to vacuole via AP-3 pathway	Verified	chrII	186844	191583	-1
S000000114	YBL018C	POP8	Processing Of Precursor RNAs	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; relocalizes to the cytosol in response to hypoxia	Verified	chrII	185998	186474	-1
S000000115	YBL019W	APN2	APurinic/apyrimidinic eNdonuclease	Class II abasic (AP) endonuclease involved in repair of DNA damage; also possesses 3'-diesterase and PCNA-stiimulated 3' to 5' exonuclease activities; resolves blocked 3' ends that result from removal of misincorporated nucleotides; frays and cleaves 3' DNA termini facilitating 3' DNA-end healing via endonucleolytic cleavage;  homolog of human APEX2 and E. coli exoIII 	Verified	chrII	184353	185915	1
S000000116	YBL020W	RFT1	Requiring Fifty-Three	Membrane protein required for translocation of Man5GlcNac2-PP-Dol; required for translocation of Man5GlcNac2-PP-Dol from the cytoplasmic side to the lumenal side of the ER membrane but is not the flippase; mutation is suppressed by expression of human p53 protein; essential gene	Verified	chrII	182401	184125	1
S000000117	YBL021C	HAP3	Heme Activator Protein	Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose-repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; contains sequences contributing to both complex assembly and DNA binding	Verified	chrII	181660	182094	-1
S000000118	YBL022C	PIM1	Proteolysis In Mitochondria	ATP-dependent Lon protease; involved in degradation of misfolded mitochondrial proteins; required for mitochondrial maintenance and biogenesis; regulates mitochondrial DNA copy number with Mrx6p; subunit of a complex containing Mrx6p, Pet20p, and Mam33p that may regulate mtDNA replication; protease-independent, chaperone-like function in mitochondrial membrane complex assembly; localizes to the mitochondrial matrix	Verified	chrII	177874	181275	-1
S000000119	YBL023C	MCM2	MiniChromosome Maintenance	Protein involved in DNA replication; component of the Mcm2-7 hexameric helicase complex that binds chromatin as a part of the pre-replicative complex; relative distribution to the nucleus increases upon DNA replication stress	Verified	chrII	174920	177526	-1
S000000120	YBL024W	NCL1	NuCLear protein	S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase; methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; increases proportion of tRNALeu(CAA) with m5C at wobble position in response to hydrogen peroxide, causing selective translation of mRNA from genes enriched in TTG codon; loss of NCL1 confers hypersensitivity to oxidative stress; similar to Nop2p and human proliferation associated nucleolar protein p120	Verified	chrII	172534	174588	1
S000000121	YBL025W	RRN10	Regulation of RNA polymerase I	Protein involved in promoting high level transcription of rDNA; subunit of UAF (upstream activation factor) for RNA polymerase I	Verified	chrII	171481	171918	1
S000000122	YBL026W	LSM2	Like SM	Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress	Verified	chrII	170623	171038	1
S000000123	YBL027W	RPL19B	Ribosomal Protein of the Large subunit	Ribosomal 60S subunit protein L19B; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal; homologous to mammalian ribosomal protein L19, no bacterial homolog; RPL19B has a paralog, RPL19A, that arose from the whole genome duplication	Verified	chrII	168423	169376	1
S000000124	YBL028C	""	""	Protein of unknown function that may interact with ribosomes; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus; predicted to be involved in ribosome biogenesis	Verified	chrII	167518	167838	-1
S000000125	YBL029W	""	""	Non-essential protein of unknown function	Uncharacterized	chrII	166134	167264	1
S000000126	YBL030C	PET9	PETite	Major ADP/ATP carrier of the mitochondrial inner membrane; exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; also functions in peroxisomes; required for viability in many lab strains that carry a sal1 mutation; PET9 has a paralog, AAC3, that arose from the whole genome duplication; human homolog SLC25A4 implicated in progressive external ophthalmoplegia can complement yeast null mutant	Verified	chrII	163041	163997	-1
S000000127	YBL031W	SHE1	Sensitivity to High Expression	Mitotic spindle protein; interacts with components of the Dam1 (DASH) complex, its effector Sli15p, and microtubule-associated protein Bim1p; also localizes to nuclear microtubules and to the bud neck in a ring-shaped structure; inhibits dynein function	Verified	chrII	161699	162715	1
S000000128	YBL032W	HEK2	HEterogeneous nuclear rnp K-like gene	RNA binding protein involved in asymmetric localization of ASH1 mRNA; represses translation of ASH1 mRNA, an effect reversed by Yck1p-dependent phosphoryation; regulates telomere position effect and length; similarity to hnRNP-K; increases mRNA stability by binding (CNN)n repeat elements	Verified	chrII	160184	161329	1
S000000129	YBL033C	RIB1	RIBoflavin biosynthesis	GTP cyclohydrolase II; catalyzes the first step of the riboflavin biosynthesis pathway	Verified	chrII	158656	159693	-1
S000000130	YBL034C	STU1	Suppressor of TUbulin	Microtubule plus-end-tracking non-motor protein; binds to MTs, stabilizing interpolar MT plus ends, facilitating polymerization of spindle MTs and producing an outward force on spindle poles; required for structural integrity of the mitotic spindle; binds detached kinetochores (KTs) and promotes capture; relocalizes to MTs and stabilizes the spindle once captured KTs reach a spindle pole; localizes to the spindle, spindles poles, and detached KTs; CLASP family member homologous to human CLASP1/2	Verified	chrII	153848	158389	-1
S000000131	YBL035C	POL12	POLymerase	B subunit of DNA polymerase alpha-primase complex; required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation	Verified	chrII	151493	153610	-1
S000000132	YBL036C	""	""	Putative non-specific single-domain racemase; based on structural similarity; binds pyridoxal 5'-phosphate; expression of GFP-fusion protein induced in response to the DNA-damaging agent MMS	Verified	chrII	150447	151220	-1
S000000133	YBL037W	APL3	clathrin Adaptor Protein complex Large chain	Alpha-adaptin; large subunit of the clathrin associated protein complex (AP-2); involved in vesicle mediated transport	Verified	chrII	147209	150286	1
S000000134	YBL038W	MRPL16	Mitochondrial Ribosomal Protein, Large subunit	Mitochondrial ribosomal protein of the large subunit; homologous to bacterial L16 ribosomal protein; synthetic lethality with hac1 mutation suggests a possible role in synthesis of precursors for protein glycosylation	Verified	chrII	146187	146885	1
S000000135	YBL039C	URA7	URAcil requiring	Major CTP synthase isozyme (see also URA8); catalyzes ATP-dependent transfer of amide nitrogen from glutamine to UTP, forming CTP, final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis; targeted to vacuole via AP-3 pathway; capable of forming cytoplasmic filaments termed cytoophidium, especially during conditions of glucose depletion; URA7 has paralog URA8 that arose from the whole genome duplication	Verified	chrII	143989	145728	-1
S000000136	YBL040C	ERD2	Endoplasmic reticulum Retention Defective	HDEL receptor; an integral membrane protein that binds to the HDEL motif in proteins destined for retention in the endoplasmic reticulum; has a role in maintenance of normal levels of ER-resident proteins	Verified	chrII	142112	142868	-1
S000000137	YBL041W	PRE7	PRoteinase yscE	Beta 6 subunit of the 20S proteasome	Verified	chrII	141247	141972	1
S000000138	YBL042C	FUI1	5-FlUorourIdine resistance	High affinity uridine permease, localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress	Verified	chrII	138341	140260	-1
S000000139	YBL043W	ECM13	ExtraCellular Mutant	Non-essential protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation; ECM13 has a paralog, YJR115W, that arose from the whole genome duplication	Verified	chrII	136688	137461	1
S000000140	YBL044W	""	""	Putative protein of unknown function; YBL044W is not an essential protein	Uncharacterized	chrII	135998	136366	1
S000000141	YBL045C	COR1	CORe protein of QH2 cytochrome c reductase	Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain	Verified	chrII	134143	135516	-1
